,Country (or dependent territory),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
88,Kosovo,,,,,,,,,,,2234.0,2535.0,2703.0,3355.0,3621.0,3741.0,3918.0,4743.0,5715.0,5668.0,5841.0,6699.0,6503.0,7075.0,7398.0,6444.0,6717.0,7242.0,7981.0,8126.0
89,Kuwait,18293.0,10826.0,19866.0,23996.0,24796.0,27189.0,31492.0,30350.0,25944.0,30123.0,37721.0,34886.0,38135.0,47844.0,59439.0,80807.0,101559.0,114677.0,147402.0,105992.0,115401.0,154020.0,174066.0,174179.0,162695.0,114079.0,110873.0,119533.0,141050.0,136940.0
90,Kyrgyzstan,,,917.0,665.0,1108.0,1493.0,1822.0,1767.0,1630.0,1242.0,1368.0,1525.0,1606.0,1920.0,2214.0,2459.0,2837.0,3807.0,5139.0,4690.0,4794.0,6198.0,6604.0,7335.0,7467.0,6678.0,6551.0,7703.0,8093.0,8334.0
91,Laos,1742.0,2053.0,2354.0,2652.0,3081.0,3579.0,3726.0,3515.0,1334.0,1415.0,1720.0,1757.0,1844.0,2259.0,2649.0,3049.0,3915.0,4757.0,5948.0,6431.0,7504.0,8963.0,10195.0,11974.0,13266.0,14363.0,15916.0,17069.0,18434.0,20153.0
92,Latvia,,,1694.0,2728.0,4532.0,5410.0,5970.0,6527.0,7178.0,7534.0,7948.0,8351.0,9553.0,11753.0,14377.0,16949.0,21466.0,30946.0,35763.0,26238.0,23809.0,28496.0,28141.0,30260.0,31402.0,27040.0,27584.0,30524.0,34881.0,35721.0
93,Lebanon,2838.0,4452.0,5546.0,7535.0,9110.0,11119.0,12997.0,15745.0,17289.0,17405.0,17248.0,17595.0,19091.0,19749.0,20957.0,21286.0,21797.0,24577.0,28833.0,35140.0,38010.0,40076.0,44100.0,47598.0,49874.0,50800.0,49611.0,53394.0,56409.0,58281.0
94,Lesotho,675.0,766.0,888.0,887.0,936.0,1052.0,995.0,1050.0,967.0,949.0,923.0,846.0,771.0,1146.0,1461.0,1627.0,1721.0,1939.0,1922.0,2007.0,2603.0,2937.0,2788.0,2635.0,2568.0,2364.0,2442.0,2733.0,2762.0,2811.0
95,Liberia,,,,,,,,,,,874.0,906.0,927.0,748.0,897.0,949.0,1119.0,1373.0,1726.0,1768.0,1998.0,2398.0,2721.0,3067.0,3144.0,3177.0,3278.0,3284.0,3249.0,3221.0
96,Libya,30644.0,33908.0,34358.0,30921.0,28796.0,32690.0,35683.0,36531.0,29960.0,35975.0,38271.0,34112.0,20471.0,26186.0,32996.0,47335.0,54963.0,67690.0,83651.0,56236.0,73397.0,38843.0,89242.0,62872.0,33819.0,29763.0,18539.0,30565.0,43587.0,44964.0
97,Lithuania,,,,,,6698.0,8385.0,10121.0,11241.0,10973.0,11539.0,12253.0,14275.0,18803.0,22647.0,26182.0,30235.0,39787.0,48125.0,37533.0,37200.0,43564.0,42887.0,46479.0,48661.0,41423.0,42791.0,47640.0,53323.0,54240.0
98,Luxembourg,12747.0,13815.0,15476.0,15864.0,17653.0,20768.0,20657.0,18603.0,19445.0,21285.0,21438.0,21070.0,23391.0,29263.0,34390.0,37041.0,41950.0,50393.0,55406.0,50515.0,53005.0,59631.0,56443.0,61563.0,65476.0,58077.0,58655.0,62441.0,68770.0,69634.0
99,Macau,,,,,,,,,,,,6811.0,7323.0,8195.0,10586.0,12092.0,14790.0,18341.0,20917.0,21475.0,28124.0,36708.0,43032.0,51552.0,55348.0,45415.0,45368.0,50559.0,54545.0,58055.0
100,North Macedonia,,,2443.0,2687.0,3561.0,4687.0,4642.0,3928.0,3764.0,3867.0,3774.0,3709.0,3991.0,4946.0,5684.0,6257.0,6860.0,8337.0,9912.0,9400.0,9415.0,10659.0,9751.0,10824.0,11378.0,10054.0,10759.0,11307.0,12669.0,12884.0
101,Madagascar,3081.0,2677.0,3001.0,3371.0,2977.0,3160.0,3995.0,3546.0,3738.0,3721.0,3878.0,4530.0,4397.0,5474.0,4364.0,5039.0,5516.0,7343.0,9413.0,8550.0,8730.0,9893.0,9920.0,10602.0,10674.0,9744.0,10001.0,11466.0,12093.0,12734.0
102,Malawi,2999.0,3821.0,3120.0,3591.0,2081.0,2423.0,3956.0,4619.0,3036.0,3080.0,3023.0,2967.0,3496.0,3211.0,3476.0,3656.0,3998.0,4431.0,5321.0,6195.0,6957.0,7984.0,5981.0,5432.0,6055.0,6407.0,5475.0,6226.0,6925.0,7436.0
103,Malaysia,46575.0,52765.0,63521.0,71837.0,79985.0,95395.0,108300.0,107570.0,77508.0,84996.0,100719.0,99639.0,108296.0,118344.0,133966.0,148245.0,168084.0,199960.0,238645.0,208914.0,255024.0,297961.0,314443.0,323276.0,338073.0,296434.0,296536.0,314708.0,354348.0,373447.0
104,Maldives,231.0,262.0,306.0,346.0,382.0,466.0,527.0,652.0,693.0,756.0,801.0,767.0,828.0,1043.0,1202.0,1120.0,1475.0,1746.0,2110.0,2149.0,2323.0,2321.0,2517.0,2787.0,3088.0,3192.0,4213.0,4858.0,5302.0,5749.0
105,Mali,3223.0,3285.0,3373.0,3362.0,2575.0,3337.0,3416.0,3208.0,3328.0,3444.0,2963.0,3468.0,3903.0,4713.0,5452.0,6256.0,6906.0,8157.0,9797.0,10207.0,10699.0,12990.0,12450.0,13250.0,14411.0,13107.0,14039.0,15366.0,17187.0,17833.0
106,Malta,,,,,,3367.0,3433.0,3476.0,3680.0,3836.0,4059.0,4067.0,4475.0,5423.0,6049.0,6402.0,6786.0,7944.0,9020.0,8550.0,8757.0,9509.0,9204.0,10135.0,11206.0,10293.0,11278.0,12754.0,14505.0,15134.0
107,Marshall Islands,,,,,,,,106.0,109.0,108.0,111.0,115.0,125.0,127.0,131.0,138.0,144.0,151.0,153.0,153.0,165.0,173.0,185.0,191.0,183.0,179.0,194.0,208.0,214.0,220.0
108,Mauritania,1213.0,1390.0,1464.0,1250.0,1316.0,1415.0,1443.0,1402.0,1371.0,1406.0,1294.0,1296.0,1324.0,1563.0,1831.0,2184.0,3041.0,3331.0,3947.0,3670.0,4330.0,5176.0,5234.0,5724.0,5391.0,4844.0,4755.0,4919.0,5194.0,5569.0
109,Mauritius,2596.0,2851.0,3211.0,3309.0,3673.0,4195.0,4337.0,4073.0,4114.0,4344.0,4663.0,4614.0,4841.0,5817.0,6579.0,6489.0,6732.0,7792.0,9641.0,8835.0,9718.0,11263.0,11446.0,11932.0,12613.0,11511.0,12150.0,13267.0,14277.0,14812.0
110,Mexico,298037.0,357292.0,414348.0,504022.0,527316.0,343814.0,397402.0,480557.0,502029.0,579452.0,683650.0,724691.0,741563.0,713283.0,770270.0,866346.0,966867.0,1043472.0,1101274.0,894950.0,1051128.0,1171185.0,1186602.0,1261983.0,1298404.0,1152266.0,1076914.0,1158229.0,1223359.0,1241450.0
111,Federated States of Micronesia,,,,,,222.0,219.0,207.0,219.0,221.0,234.0,241.0,243.0,246.0,241.0,251.0,254.0,257.0,264.0,280.0,297.0,311.0,326.0,316.0,318.0,315.0,323.0,363.0,374.0,383.0
112,Moldova,,,864.0,1110.0,1158.0,1441.0,1694.0,1928.0,1697.0,1172.0,1315.0,1481.0,1662.0,1981.0,2598.0,2988.0,3408.0,4401.0,6055.0,5438.0,5813.0,7018.0,7283.0,7985.0,7983.0,6496.0,6773.0,9670.0,11404.0,12037.0
113,Mongolia,3131.0,3297.0,1831.0,902.0,1082.0,1697.0,1573.0,1380.0,1314.0,1236.0,1329.0,1485.0,1634.0,1864.0,2317.0,2930.0,4084.0,5370.0,8084.0,5976.0,7185.0,10410.0,12293.0,12582.0,12196.0,11718.0,11053.0,11434.0,13038.0,13696.0
114,Montenegro,,,,,,,,,,,985.0,1160.0,1285.0,1708.0,2076.0,2261.0,2698.0,3674.0,4541.0,4152.0,4147.0,4543.0,4090.0,4466.0,4595.0,4022.0,4376.0,4854.0,5402.0,5443.0
115,Morocco,30180.0,32286.0,33712.0,31656.0,35605.0,39029.0,43162.0,39147.0,41806.0,41632.0,38859.0,39460.0,42238.0,52064.0,59626.0,62343.0,68641.0,79041.0,92507.0,92897.0,93217.0,101371.0,98266.0,106826.0,109881.0,100593.0,103607.0,109824.0,118309.0,121350.0
116,Mozambique,4130.0,3217.0,2177.0,2265.0,2458.0,2524.0,3468.0,4110.0,4718.0,5167.0,4667.0,4567.0,4977.0,5549.0,6749.0,7595.0,8304.0,9466.0,11555.0,11243.0,10457.0,13131.0,15178.0,16013.0,16872.0,14807.0,11272.0,12586.0,14428.0,15372.0
117,Myanmar,,,,,,,,,7441.0,9777.0,10259.0,7462.0,7808.0,12058.0,12173.0,13809.0,16707.0,23250.0,34490.0,37998.0,49541.0,59977.0,59731.0,60133.0,65575.0,59539.0,63251.0,66721.0,68559.0,65665.0
118,Namibia,2838.0,2854.0,3014.0,2891.0,3254.0,3503.0,3494.0,3636.0,3215.0,3384.0,3911.0,3550.0,3369.0,4932.0,6617.0,7258.0,7984.0,8730.0,8496.0,8915.0,11281.0,12423.0,13016.0,12720.0,12864.0,11497.0,10945.0,13249.0,13824.0,13961.0
119,Nauru,,,,,,,,,,,,,,,31.0,31.0,28.0,20.0,39.0,44.0,49.0,73.0,104.0,109.0,117.0,100.0,102.0,114.0,117.0,114.0
120,Nepal,3894.0,4261.0,3872.0,4158.0,4344.0,4716.0,4861.0,5284.0,5253.0,5404.0,5731.0,5891.0,5976.0,6328.0,7274.0,8180.0,9044.0,10325.0,12545.0,12855.0,16002.0,19011.0,18852.0,19270.0,19995.0,21314.0,21132.0,24880.0,28812.0,28922.0
121,Netherlands,314016.0,323511.0,358001.0,348101.0,373918.0,446932.0,445845.0,412717.0,433086.0,442555.0,414018.0,426940.0,467016.0,572958.0,651416.0,679695.0,727287.0,840583.0,940665.0,860108.0,837949.0,894576.0,829406.0,866951.0,881033.0,758381.0,777548.0,832239.0,912899.0,914003.0
122,New Zealand,45774.0,43579.0,41596.0,44799.0,52873.0,62212.0,69065.0,68887.0,56781.0,58847.0,54138.0,53105.0,62047.0,82470.0,101582.0,113204.0,109764.0,134947.0,135525.0,121733.0,145309.0,167128.0,175062.0,186810.0,199028.0,173347.0,185380.0,200317.0,203404.0,210475.0
123,Nicaragua,519.0,3678.0,3894.0,3726.0,3861.0,4140.0,4308.0,4390.0,4635.0,4856.0,5109.0,5335.0,5224.0,5322.0,5793.0,6321.0,6786.0,7458.0,8491.0,8379.0,8741.0,9756.0,10439.0,10875.0,11790.0,12693.0,13230.0,13814.0,13258.0,12612.0
124,Niger,2480.0,2328.0,2345.0,2221.0,1563.0,1756.0,1880.0,1733.0,1981.0,1916.0,1671.0,1815.0,2073.0,2645.0,2901.0,3375.0,3650.0,4290.0,5429.0,5411.0,5729.0,6415.0,6946.0,7670.0,8258.0,7175.0,7531.0,8136.0,9226.0,9724.0
125,Nigeria,62165.0,60131.0,52275.0,56807.0,80128.0,132230.0,172686.0,187866.0,209677.0,57477.0,67824.0,73128.0,93983.0,102935.0,130345.0,169645.0,222791.0,262215.0,330260.0,297458.0,369062.0,414095.0,460952.0,514965.0,568496.0,493841.0,405442.0,376361.0,397270.0,444916.0
126,Norway,119796.0,121903.0,130892.0,120267.0,127094.0,152047.0,163520.0,161374.0,154180.0,162316.0,171333.0,174017.0,195423.0,227620.0,264199.0,308679.0,345393.0,400886.0,461946.0,386382.0,428527.0,498157.0,509705.0,522746.0,498340.0,386579.0,371064.0,399489.0,434937.0,427041.0
127,Oman,11686.0,11342.0,12452.0,12494.0,12919.0,13803.0,15277.0,15838.0,13997.0,15594.0,19508.0,19452.0,20143.0,21634.0,24764.0,31082.0,37216.0,42086.0,60906.0,48389.0,58642.0,67937.0,76689.0,78939.0,81034.0,69831.0,66824.0,70784.0,82243.0,79458.0
128,Pakistan,52429.0,59556.0,63727.0,67443.0,67998.0,79452.0,82969.0,81808.0,81487.0,82521.0,79705.0,77933.0,77937.0,89689.0,105607.0,118475.0,137236.0,152369.0,170853.0,167875.0,177166.0,213588.0,224384.0,231218.0,244361.0,271050.0,278592.0,304952.0,312570.0,284209.0
129,Palau,,,,,,,,,,,149.0,160.0,164.0,160.0,175.0,193.0,195.0,196.0,198.0,187.0,184.0,200.0,215.0,229.0,249.0,284.0,308.0,290.0,297.0,310.0
130,Panama,5632.0,6193.0,7040.0,7688.0,8198.0,8380.0,9881.0,10677.0,11575.0,12130.0,12304.0,12502.0,12994.0,13694.0,15013.0,16374.0,18145.0,20958.0,24522.0,26594.0,28917.0,34374.0,39955.0,44856.0,49166.0,52132.0,57821.0,62284.0,65206.0,70155.0
131,Papua New Guinea,4840.0,5693.0,6578.0,7477.0,8217.0,7273.0,7740.0,7398.0,5655.0,5160.0,5258.0,4610.0,4580.0,5584.0,6276.0,7312.0,8306.0,9439.0,11549.0,11550.0,14205.0,17953.0,21268.0,21144.0,21823.0,21195.0,22568.0,20334.0,21319.0,21453.0
132,Paraguay,4904.0,6984.0,7158.0,7249.0,7871.0,9062.0,9788.0,9965.0,9025.0,8393.0,8856.0,8496.0,7196.0,7691.0,9624.0,10738.0,13430.0,17856.0,24577.0,22347.0,27239.0,33716.0,33283.0,38585.0,40277.0,36164.0,36054.0,39009.0,41604.0,42352.0
133,Peru,28320.0,33988.0,35376.0,34329.0,43792.0,52139.0,54090.0,56911.0,54600.0,49378.0,51005.0,51613.0,54451.0,59045.0,66710.0,74970.0,87887.0,102187.0,121591.0,121019.0,148014.0,168772.0,189024.0,197866.0,203021.0,192391.0,195432.0,214128.0,225203.0,232080.0
134,Philippines,49095.0,50320.0,58695.0,60237.0,71003.0,82121.0,91792.0,91234.0,72207.0,82995.0,81023.0,76262.0,81358.0,83908.0,91371.0,103074.0,122211.0,149360.0,173603.0,168485.0,199591.0,224143.0,250092.0,271836.0,284829.0,292774.0,304906.0,313595.0,330846.0,356682.0
135,Poland,62084.0,80451.0,88713.0,90366.0,103683.0,139089.0,156684.0,157183.0,172050.0,167799.0,171276.0,190430.0,198679.0,217514.0,253709.0,304430.0,343272.0,429172.0,530170.0,436817.0,479161.0,528567.0,500836.0,524382.0,545053.0,477328.0,471216.0,526594.0,586015.0,593295.0
136,Portugal,79447.0,89913.0,108130.0,95149.0,99702.0,118223.0,122659.0,117248.0,124168.0,127633.0,118706.0,121650.0,134704.0,165280.0,189444.0,197642.0,208750.0,240502.0,263249.0,244364.0,238748.0,245120.0,216488.0,226144.0,229995.0,199182.0,205269.0,219748.0,238510.0,239473.0
137,Puerto Rico,30604.0,32287.0,34630.0,36923.0,39691.0,42647.0,45341.0,48187.0,54086.0,57841.0,61702.0,69669.0,72546.0,75834.0,80322.0,83915.0,87276.0,89524.0,93639.0,96386.0,98381.0,100352.0,101565.0,102450.0,102089.0,102906.0,105035.0,104219.0,104344.0,103506.0
138,Qatar,7360.0,6884.0,7646.0,7157.0,7374.0,8138.0,9059.0,11298.0,10255.0,12393.0,17760.0,17538.0,19364.0,23534.0,31734.0,44530.0,60882.0,79712.0,115270.0,97798.0,125122.0,167775.0,186834.0,198728.0,206225.0,164641.0,152469.0,166929.0,192450.0,193502.0
139,Romania,38762.0,29256.0,19906.0,26795.0,30571.0,36067.0,35921.0,35872.0,42815.0,36183.0,37466.0,40717.0,46174.0,59868.0,76217.0,99699.0,123534.0,171679.0,209664.0,168036.0,167986.0,186113.0,171662.0,191560.0,199543.0,177524.0,187807.0,211407.0,239851.0,244158.0
140,Russia,,,91941.0,197428.0,297487.0,336820.0,420966.0,435112.0,291230.0,210492.0,279033.0,329407.0,371213.0,462332.0,634999.0,820568.0,1063640.0,1396475.0,1784514.0,1313681.0,1638463.0,2031768.0,2170145.0,2230624.0,2063663.0,1365865.0,1283286.0,1578417.0,1630659.0,1610381.0
141,Rwanda,2491.0,1837.0,1950.0,1881.0,1195.0,1239.0,1343.0,1808.0,1931.0,1797.0,1718.0,1676.0,1668.0,1835.0,2091.0,2584.0,3151.0,3826.0,4863.0,5380.0,5774.0,6492.0,7316.0,7623.0,8010.0,8277.0,8475.0,9141.0,9511.0,10211.0
142,Samoa,177.0,172.0,188.0,193.0,154.0,236.0,251.0,273.0,279.0,255.0,264.0,266.0,282.0,333.0,408.0,474.0,503.0,554.0,667.0,586.0,639.0,739.0,801.0,805.0,804.0,804.0,786.0,840.0,881.0,902.0
143,San Marino,,,,,,,,,,,,,,,1880.0,1962.0,2095.0,2491.0,2765.0,2369.0,2143.0,2056.0,1802.0,1866.0,1848.0,1571.0,1565.0,1528.0,1638.0,1620.0
144,São Tomé and Príncipe,120.0,108.0,96.0,127.0,132.0,104.0,34.0,46.0,54.0,56.0,58.0,72.0,81.0,98.0,108.0,130.0,140.0,148.0,188.0,188.0,197.0,233.0,253.0,303.0,348.0,318.0,351.0,393.0,449.0,477.0
145,Saudi Arabia,117473.0,132047.0,136905.0,132791.0,134995.0,143152.0,158451.0,165742.0,146775.0,161717.0,189515.0,184137.0,189606.0,215808.0,258742.0,328206.0,376398.0,415687.0,519797.0,429098.0,526811.0,671239.0,735975.0,746647.0,756350.0,654270.0,644935.0,688586.0,782483.0,762259.0
146,Senegal,7237.0,7111.0,7602.0,7189.0,4908.0,6177.0,6413.0,5915.0,6404.0,6521.0,5965.0,6179.0,6773.0,8698.0,10178.0,11041.0,11858.0,14307.0,17029.0,16290.0,16245.0,17895.0,17835.0,18966.0,19802.0,17777.0,18982.0,21135.0,24027.0,25320.0
147,Serbia,,,,,,,,,,,9312.0,12313.0,16177.0,21219.0,24743.0,26075.0,30721.0,40499.0,49165.0,42611.0,39035.0,46488.0,40734.0,45520.0,44211.0,37160.0,38300.0,44120.0,50651.0,52424.0
148,Seychelles,369.0,374.0,434.0,474.0,486.0,508.0,503.0,563.0,608.0,623.0,615.0,622.0,698.0,706.0,839.0,919.0,1016.0,1034.0,967.0,847.0,970.0,1018.0,1060.0,1315.0,1349.0,1359.0,1429.0,1498.0,1573.0,1654.0
149,Sierra Leone,948.0,1138.0,992.0,1122.0,1331.0,1273.0,1374.0,1240.0,981.0,977.0,941.0,1084.0,1250.0,1380.0,1439.0,1649.0,1884.0,2159.0,2511.0,2454.0,2578.0,2942.0,3802.0,4916.0,5007.0,4543.0,3785.0,3748.0,3906.0,3998.0
150,Singapore,38900.0,45472.0,52130.0,60642.0,73776.0,87888.0,96403.0,100168.0,85715.0,86287.0,95837.0,89288.0,91942.0,97003.0,114184.0,127420.0,147795.0,179981.0,192231.0,192406.0,236420.0,275605.0,289168.0,302511.0,308155.0,296835.0,296966.0,336679.0,361109.0,372807.0
151,Slovakia,,,,13669.0,15772.0,19951.0,21579.0,21891.0,22804.0,20841.0,20691.0,21386.0,24854.0,34023.0,43121.0,49048.0,57402.0,77105.0,97030.0,89171.0,89668.0,98270.0,93466.0,98509.0,100919.0,87312.0,89806.0,95938.0,106585.0,109863.0
152,Slovenia,,,19200.0,16564.0,16783.0,21304.0,21493.0,20978.0,22147.0,22746.0,20446.0,20900.0,23603.0,29738.0,34504.0,36401.0,39621.0,48167.0,55853.0,50372.0,48103.0,51338.0,46284.0,47704.0,49609.0,42798.0,44727.0,48553.0,54242.0,55088.0
153,Solomon Islands,208.0,220.0,261.0,291.0,369.0,429.0,473.0,495.0,423.0,448.0,381.0,380.0,324.0,314.0,363.0,429.0,471.0,516.0,608.0,598.0,672.0,887.0,1025.0,1111.0,1154.0,1130.0,1235.0,1298.0,1424.0,1511.0
154,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,6887.0,7382.0,7480.0,7903.0
155,South Africa,115533.0,123964.0,134557.0,134345.0,139804.0,155461.0,147701.0,152611.0,137686.0,136550.0,136453.0,121602.0,115748.0,175254.0,228931.0,257667.0,271812.0,299033.0,287095.0,297221.0,375304.0,416879.0,396346.0,367772.0,351571.0,314732.0,295678.0,349433.0,368135.0,371298.0
156,South Sudan,,,,,,,,,,,,,,,,,,,,,,17186.0,11267.0,14940.0,15100.0,12485.0,3056.0,2949.0,3929.0,3151.0
157,Spain,533945.0,575184.0,628611.0,528008.0,529824.0,612413.0,638500.0,587967.0,616957.0,634384.0,597149.0,626514.0,707642.0,908588.0,1071007.0,1159257.0,1265661.0,1481393.0,1642738.0,1502876.0,1434257.0,1489381.0,1336685.0,1362202.0,1378042.0,1193556.0,1237766.0,1316951.0,1425865.0,1429140.0
158,Sri Lanka,9468.0,10367.0,11176.0,11948.0,13781.0,14635.0,16051.0,17888.0,18430.0,18532.0,19371.0,18610.0,19585.0,21621.0,23655.0,27945.0,32359.0,37043.0,46602.0,48113.0,56710.0,65267.0,68419.0,74464.0,80007.0,81247.0,80978.0,87351.0,88223.0,84164.0
159,Saint Kitts and Nevis,203.0,201.0,223.0,243.0,272.0,293.0,312.0,351.0,366.0,389.0,420.0,461.0,483.0,465.0,503.0,543.0,636.0,674.0,739.0,723.0,705.0,753.0,734.0,788.0,848.0,876.0,900.0,992.0,1019.0,1058.0
160,Saint Lucia,484.0,514.0,567.0,575.0,600.0,640.0,662.0,677.0,738.0,776.0,784.0,744.0,748.0,824.0,893.0,951.0,1063.0,1151.0,1187.0,1181.0,1242.0,1281.0,1299.0,1318.0,1386.0,1431.0,1643.0,1810.0,1874.0,1971.0
161,Saint Vincent and the Grenadines,240.0,255.0,278.0,286.0,289.0,316.0,331.0,348.0,374.0,391.0,396.0,430.0,462.0,482.0,522.0,551.0,611.0,678.0,695.0,675.0,681.0,676.0,693.0,721.0,728.0,738.0,775.0,785.0,826.0,864.0
162,Sudan,2444.0,2752.0,3375.0,5712.0,6490.0,7288.0,9120.0,11742.0,11308.0,10676.0,13134.0,15716.0,18137.0,21355.0,26646.0,35183.0,45264.0,59440.0,64833.0,59840.0,74540.0,75410.0,67694.0,56085.0,62319.0,64059.0,57649.0,45677.0,33903.0,31468.0
163,Suriname,539.0,594.0,551.0,434.0,488.0,927.0,1153.0,1235.0,1483.0,1222.0,1266.0,1090.0,1376.0,1615.0,1868.0,2235.0,2626.0,2936.0,3533.0,3876.0,4368.0,4422.0,4980.0,5146.0,5241.0,4879.0,3278.0,3069.0,3427.0,3683.0
164,Eswatini,1230.0,1292.0,1442.0,1479.0,1608.0,1951.0,1858.0,1986.0,1833.0,1810.0,1797.0,1602.0,1476.0,2266.0,2859.0,3245.0,3351.0,3526.0,3356.0,3648.0,4498.0,4878.0,4755.0,4420.0,4301.0,3929.0,3848.0,5813.0,6721.0,7718.0
165,Sweden,255950.0,268677.0,279568.0,209982.0,226113.0,264089.0,288134.0,264510.0,266829.0,270735.0,259839.0,239957.0,263940.0,331109.0,381743.0,389043.0,420017.0,487818.0,513966.0,429656.0,488378.0,563110.0,543881.0,578742.0,573818.0,495694.0,514460.0,535607.0,551135.0,547123.0
166,Switzerland,257544.0,260542.0,271053.0,263445.0,291883.0,341958.0,329762.0,286673.0,294750.0,289600.0,271852.0,278821.0,301321.0,352356.0,393038.0,407592.0,429477.0,477784.0,552287.0,540966.0,503000.0,465000.0,452000.0,551000.0,561000.0,575000.0,640765.0,676000.0,700000.0,742000.0
167,Syria,12303.0,12738.0,13263.0,13796.0,15105.0,16556.0,17761.0,16573.0,16144.0,16785.0,19861.0,20979.0,22758.0,21702.0,25204.0,28881.0,33824.0,40488.0,52631.0,53939.0,60043.0,,,,,,,,,
168,Taiwan,166845.0,187351.0,223123.0,235166.0,256438.0,279270.0,292681.0,303706.0,280407.0,304174.0,331407.0,300223.0,308883.0,318364.0,348407.0,375787.0,388547.0,408221.0,417038.0,392106.0,446141.0,485671.0,495919.0,511599.0,530515.0,525236.0,530608.0,574895.0,589391.0,601431.0
169,Tajikistan,,,291.0,678.0,829.0,569.0,1052.0,1121.0,1320.0,1087.0,991.0,1057.0,1212.0,1555.0,2073.0,2311.0,2811.0,3712.0,5135.0,4977.0,5642.0,6523.0,7592.0,8506.0,9242.0,7857.0,6953.0,7144.0,7520.0,7698.0
170,Tanzania,3430.0,4031.0,3700.0,3412.0,3627.0,4251.0,5311.0,6415.0,9454.0,11624.0,12423.0,12743.0,13216.0,14178.0,15547.0,16930.0,18610.0,21502.0,27368.0,28574.0,31086.0,33583.0,39088.0,44414.0,48256.0,45634.0,47653.0,53271.0,57862.0,61032.0
171,Thailand,88467.0,101247.0,115576.0,128890.0,146684.0,169279.0,183035.0,150180.0,113676.0,126669.0,126392.0,120297.0,134301.0,152281.0,172895.0,189318.0,221759.0,262943.0,291383.0,281710.0,341105.0,370818.0,397560.0,420529.0,406521.0,399205.0,411847.0,455322.0,487239.0,516662.0
172,Timor-Leste,,,,,,,,,,,444.0,494.0,483.0,503.0,1102.0,1846.0,2819.0,2903.0,4487.0,3391.0,4267.0,5973.0,6809.0,5641.0,4175.0,2874.0,2521.0,2778.0,3090.0,3145.0
173,Togo,1789.0,1768.0,1854.0,1413.0,1095.0,1446.0,1581.0,1610.0,1524.0,1529.0,1299.0,1334.0,1481.0,1677.0,1940.0,2117.0,2221.0,2527.0,3174.0,3171.0,3179.0,3759.0,3918.0,4322.0,4612.0,4165.0,4460.0,4795.0,5358.0,5592.0
174,Tonga,148.0,177.0,184.0,190.0,196.0,211.0,229.0,227.0,219.0,200.0,191.0,182.0,192.0,215.0,245.0,278.0,297.0,324.0,333.0,343.0,395.0,447.0,461.0,446.0,439.0,414.0,413.0,455.0,470.0,493.0
175,Trinidad and Tobago,5068.0,5308.0,5440.0,4669.0,4947.0,5329.0,5760.0,5738.0,6044.0,6808.0,8154.0,8825.0,9008.0,11305.0,13280.0,15982.0,18369.0,21642.0,27870.0,19175.0,22158.0,25433.0,25694.0,26436.0,26176.0,23559.0,22296.0,22053.0,22311.0,22438.0
176,Tunisia,13474.0,14202.0,16978.0,15944.0,17052.0,19654.0,21283.0,20747.0,21803.0,22943.0,21473.0,22066.0,23142.0,27454.0,31184.0,32272.0,34377.0,38910.0,44840.0,43624.0,44054.0,45810.0,45044.0,46253.0,47605.0,43156.0,42074.0,39956.0,39911.0,36204.0
177,Turkey,207115.0,208389.0,218928.0,248304.0,179202.0,233293.0,250268.0,261800.0,276016.0,256481.0,273085.0,200305.0,238342.0,311944.0,404855.0,501165.0,550798.0,675008.0,764639.0,644467.0,772294.0,832497.0,873696.0,950328.0,934072.0,859449.0,863390.0,851521.0,766428.0,706237.0
178,Turkmenistan,,,951.0,5363.0,4542.0,5874.0,2379.0,2681.0,2862.0,3857.0,5022.0,6933.0,8700.0,11424.0,14196.0,17174.0,21393.0,25962.0,21516.0,20214.0,22583.0,29233.0,35164.0,39198.0,43524.0,36047.0,36180.0,37926.0,44114.0,50346.0
179,Tuvalu,,,,,,,,,,,14.0,13.0,16.0,18.0,22.0,22.0,23.0,27.0,31.0,28.0,32.0,39.0,40.0,38.0,37.0,33.0,37.0,40.0,45.0,49.0
180,Uganda,5743.0,3004.0,2809.0,3323.0,4809.0,5760.0,5944.0,6480.0,6343.0,6029.0,5978.0,6039.0,6494.0,6724.0,8285.0,9603.0,10851.0,13497.0,17279.0,18579.0,20212.0,21108.0,24790.0,26135.0,28522.0,25112.0,25307.0,26456.0,28122.0,30368.0
181,Ukraine,,,22193.0,35025.0,38012.0,38275.0,46083.0,51867.0,43315.0,32661.0,32331.0,39309.0,43956.0,52010.0,67226.0,89282.0,111885.0,148734.0,188240.0,121552.0,136011.0,163161.0,175707.0,179572.0,132343.0,90939.0,93263.0,112125.0,124603.0,134887.0
182,United Arab Emirates,49090.0,49821.0,52208.0,53438.0,57450.0,63637.0,70991.0,76171.0,73394.0,82865.0,103893.0,103312.0,109816.0,124346.0,147824.0,180617.0,222117.0,257916.0,315475.0,253547.0,286187.0,348528.0,373432.0,388598.0,401958.0,357949.0,348743.0,382575.0,424635.0,427876.0
