,Country (or dependent territory),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
20,Bosnia and Herzegovina,,,,,,,3584.0,4578.0,5281.0,5766.0,5554.0,5784.0,6711.0,8477.0,10157.0,10935.0,12460.0,15323.0,18712.0,17601.0,17164.0,18629.0,17207.0,18155.0,18522.0,16251.0,16917.0,18169.0,19881.0,20152.0
21,Botswana,3803.0,3806.0,3932.0,3961.0,4261.0,4732.0,4881.0,5024.0,4819.0,5485.0,5804.0,5516.0,5456.0,7538.0,8969.0,10027.0,10165.0,10942.0,11028.0,10317.0,13755.0,15334.0,14701.0,14814.0,16259.0,14435.0,15660.0,17383.0,18998.0,19651.0
22,Brazil,475119.0,416596.0,399082.0,447832.0,558374.0,786479.0,850800.0,883534.0,864017.0,599438.0,655454.0,559982.0,509798.0,558232.0,669290.0,891633.0,1107628.0,1397114.0,1695855.0,1669204.0,2208704.0,2614027.0,2464053.0,2471718.0,2456054.0,1801482.0,1793066.0,2053208.0,1868184.0,1960190.0
23,Brunei,3908.0,4109.0,4646.0,4558.0,4537.0,5255.0,5679.0,5769.0,4496.0,5106.0,6662.0,6218.0,6487.0,7279.0,8739.0,10581.0,12736.0,13576.0,16005.0,11892.0,13707.0,18525.0,19047.0,18092.0,17098.0,12931.0,11399.0,12128.0,14082.0,13325.0
24,Bulgaria,19768.0,1937.0,7861.0,4266.0,7500.0,12564.0,9491.0,10024.0,13227.0,13501.0,13153.0,14076.0,16277.0,20984.0,25958.0,29636.0,34131.0,44410.0,54408.0,51885.0,50611.0,57420.0,53901.0,55760.0,56732.0,50199.0,53236.0,58335.0,64963.0,67044.0
25,Burkina Faso,3101.0,3135.0,3357.0,3200.0,1924.0,2380.0,2587.0,2448.0,2805.0,3013.0,2633.0,2836.0,3218.0,4212.0,4843.0,5474.0,5820.0,6781.0,8409.0,8391.0,9123.0,10734.0,11172.0,11938.0,12329.0,11105.0,11310.0,12349.0,14180.0,14882.0
26,Burundi,1131.0,1167.0,1082.0,938.0,924.0,1000.0,868.0,972.0,893.0,866.0,870.0,877.0,825.0,785.0,915.0,1117.0,1273.0,1356.0,1612.0,1775.0,2032.0,2236.0,2333.0,2575.0,2934.0,3002.0,3138.0,3396.0,3436.0,3573.0
27,Cape Verde,339.0,353.0,395.0,398.0,448.0,536.0,553.0,540.0,575.0,652.0,589.0,616.0,679.0,891.0,1023.0,1090.0,1237.0,1514.0,1789.0,1712.0,,,,,,,,,,
28,Cambodia,899.0,2011.0,2439.0,2427.0,2765.0,3441.0,3507.0,3443.0,3130.0,3513.0,3667.0,3992.0,4289.0,4665.0,5334.0,6287.0,7268.0,8630.0,10342.0,10391.0,11232.0,12818.0,14057.0,15244.0,16778.0,17789.0,20157.0,22225.0,24523.0,26979.0
29,Cameroon,12692.0,14152.0,12970.0,13532.0,9207.0,8733.0,9732.0,9841.0,9828.0,10015.0,9027.0,9638.0,10888.0,13630.0,15784.0,16617.0,17970.0,20461.0,23432.0,23442.0,23667.0,26612.0,26487.0,29576.0,32101.0,28431.0,32230.0,34993.0,38521.0,39219.0
30,Canada,593962.0,610322.0,592401.0,577200.0,578138.0,604034.0,628569.0,652834.0,631852.0,676005.0,742319.0,736425.0,757981.0,892498.0,1023170.0,1169467.0,1315515.0,1464978.0,1549073.0,1371152.0,1613463.0,1788647.0,1824289.0,1842627.0,1792883.0,1552808.0,1535768.0,1650187.0,1711387.0,1739110.0
31,Central African Republic,1572.0,1498.0,1494.0,1309.0,858.0,1117.0,1000.0,979.0,1036.0,1039.0,885.0,897.0,963.0,1110.0,1257.0,1337.0,1461.0,1698.0,1985.0,1982.0,1986.0,2196.0,2171.0,1519.0,1706.0,1593.0,1756.0,1937.0,2185.0,2285.0
32,Chad,1826.0,1809.0,1886.0,1648.0,1335.0,1636.0,1819.0,1748.0,1975.0,1739.0,1572.0,1936.0,2257.0,3102.0,5003.0,6681.0,7451.0,8687.0,10438.0,9312.0,10702.0,12181.0,12411.0,12994.0,14003.0,10952.0,10091.0,9892.0,10919.0,11372.0
33,Chile,32998.0,37981.0,46271.0,49506.0,57114.0,73600.0,78025.0,84924.0,81590.0,75121.0,77825.0,70968.0,69729.0,75644.0,99236.0,122958.0,154782.0,173471.0,179510.0,172512.0,218272.0,252072.0,267026.0,278340.0,260954.0,242537.0,250008.0,277668.0,298172.0,295614.0
34,China,398623.0,415604.0,495671.0,623054.0,566471.0,736870.0,867224.0,965320.0,1032576.0,1097133.0,1214912.0,1344097.0,1477483.0,1671072.0,1966223.0,2308786.0,2774308.0,3571451.0,4604285.0,5121681.0,6066351.0,7522103.0,8570348.0,9635025.0,10534526.0,11226186.0,11221836.0,12062281.0,13407398.0,14216503.0
35,Colombia,56412.0,58308.0,68997.0,78195.0,98260.0,111237.0,116838.0,128267.0,118442.0,103761.0,99875.0,98201.0,97946.0,94645.0,117092.0,146547.0,162766.0,207465.0,244302.0,233893.0,286954.0,335437.0,369430.0,380170.0,378323.0,291530.0,279987.0,311796.0,333114.0,336599.0
36,Comoros,250.0,260.0,281.0,278.0,186.0,232.0,231.0,212.0,216.0,223.0,202.0,220.0,252.0,325.0,363.0,388.0,404.0,466.0,533.0,537.0,544.0,611.0,596.0,658.0,684.0,589.0,615.0,649.0,742.0,726.0
37,Democratic Republic of the Congo,41448.0,40250.0,36333.0,47450.0,25746.0,25021.0,32099.0,28819.0,21089.0,19147.0,19077.0,8173.0,8719.0,8954.0,10341.0,11951.0,14296.0,16364.0,19129.0,18315.0,20641.0,24575.0,27566.0,32676.0,35918.0,38496.0,39324.0,41447.0,42644.0,48458.0
38,Republic of the Congo,2799.0,2725.0,2933.0,2684.0,1769.0,2116.0,2540.0,2323.0,1949.0,2357.0,3220.0,2794.0,3020.0,3503.0,4655.0,6098.0,7738.0,7446.0,10224.0,9363.0,12304.0,14811.0,13664.0,14026.0,14099.0,8554.0,7787.0,8992.0,11188.0,11162.0
39,Costa Rica,5716.0,7238.0,8578.0,9586.0,10473.0,11545.0,11640.0,12568.0,13634.0,14211.0,14965.0,15930.0,16525.0,17220.0,18562.0,19994.0,22659.0,26856.0,30844.0,30826.0,37634.0,42717.0,46984.0,50326.0,51260.0,55475.0,57810.0,58654.0,59006.0,60459.0
40,Ivory Coast,10822.0,10530.0,11178.0,11056.0,8329.0,11007.0,12139.0,11735.0,12627.0,12393.0,10748.0,11202.0,12390.0,15336.0,16576.0,17115.0,17817.0,20373.0,24339.0,24341.0,24931.0,25693.0,26797.0,31281.0,35373.0,32764.0,36375.0,38130.0,43032.0,45252.0
41,Croatia,,,12247.0,12968.0,17349.0,22388.0,23601.0,23974.0,25346.0,23374.0,21774.0,23289.0,26878.0,34659.0,41574.0,45416.0,50436.0,60081.0,70452.0,62636.0,59665.0,62237.0,56486.0,57770.0,57080.0,48676.0,51350.0,55201.0,60688.0,61252.0
42,Cyprus,6003.0,6195.0,7424.0,7098.0,8004.0,9937.0,10016.0,9545.0,10256.0,10502.0,9988.0,10396.0,11421.0,14552.0,17328.0,18713.0,20422.0,24083.0,27972.0,26009.0,25608.0,27454.0,25026.0,24064.0,23345.0,19570.0,20055.0,22186.0,24492.0,24638.0
43,Czech Republic,,,,,,59519.0,66797.0,61602.0,66347.0,64719.0,61474.0,67376.0,81684.0,99322.0,118971.0,135990.0,155213.0,188614.0,235513.0,205852.0,207016.0,227948.0,207376.0,209402.0,207818.0,186830.0,195305.0,215914.0,242052.0,246161.0
44,Denmark,138258.0,139265.0,152961.0,143210.0,156181.0,185042.0,187644.0,173558.0,177005.0,177961.0,164188.0,164820.0,178648.0,218139.0,251370.0,264489.0,282895.0,319424.0,353359.0,321243.0,321995.0,344003.0,327149.0,343584.0,352297.0,301308.0,306900.0,329866.0,350874.0,349524.0
45,Djibouti,,462.0,478.0,466.0,492.0,498.0,494.0,503.0,514.0,541.0,556.0,577.0,596.0,628.0,666.0,709.0,769.0,848.0,984.0,1015.0,1099.0,1239.0,1354.0,1455.0,1588.0,1727.0,1889.0,2029.0,2187.0,2392.0
